user_id,cluster_name,assigned_perk
313724,Hesitant Explorers,No cancellation fees
316527,Price-Sensitive Explorers,Exclusive discounts
317688,Price-Sensitive Explorers,Exclusive discounts
322867,Price-Sensitive Explorers,Exclusive discounts
324191,Price-Sensitive Explorers,Exclusive discounts
328590,Hesitant Explorers,No cancellation fees
330764,Hesitant Explorers,No cancellation fees
330893,Price-Sensitive Explorers,Exclusive discounts
331039,Frequent Planners,Free checked bag
334787,Price-Sensitive Explorers,Exclusive discounts
337227,Price-Sensitive Explorers,Exclusive discounts
338086,Price-Sensitive Explorers,Exclusive discounts
340166,Price-Sensitive Explorers,Exclusive discounts
343928,Frequent Planners,Free checked bag
347778,High-Value Travelers,Free hotel meal
348817,Price-Sensitive Explorers,Exclusive discounts
348863,Price-Sensitive Explorers,Exclusive discounts
349132,High-Value Travelers,Free hotel meal
350648,Hesitant Explorers,No cancellation fees
353271,Price-Sensitive Explorers,Exclusive discounts
353694,Price-Sensitive Explorers,Exclusive discounts
354050,Price-Sensitive Explorers,Exclusive discounts
354260,Price-Sensitive Explorers,Exclusive discounts
354311,Price-Sensitive Explorers,Exclusive discounts
354950,Price-Sensitive Explorers,Exclusive discounts
356046,Price-Sensitive Explorers,Exclusive discounts
357737,Hesitant Explorers,No cancellation fees
359072,Hesitant Explorers,No cancellation fees
359080,Price-Sensitive Explorers,Exclusive discounts
359653,Price-Sensitive Explorers,Exclusive discounts
361459,Price-Sensitive Explorers,Exclusive discounts
361759,High-Value Travelers,Free hotel meal
363535,Hesitant Explorers,No cancellation fees
365825,Hesitant Explorers,No cancellation fees
371201,Price-Sensitive Explorers,Exclusive discounts
372970,Price-Sensitive Explorers,Exclusive discounts
373489,Frequent Planners,Free checked bag
374331,Hesitant Explorers,No cancellation fees
374340,Frequent Planners,Free checked bag
374341,Price-Sensitive Explorers,Exclusive discounts
375160,Price-Sensitive Explorers,Exclusive discounts
375729,Price-Sensitive Explorers,Exclusive discounts
375751,Price-Sensitive Explorers,Exclusive discounts
376159,Price-Sensitive Explorers,Exclusive discounts
377069,Frequent Planners,Free checked bag
377411,Price-Sensitive Explorers,Exclusive discounts
378565,Price-Sensitive Explorers,Exclusive discounts
379543,Price-Sensitive Explorers,Exclusive discounts
380434,Price-Sensitive Explorers,Exclusive discounts
380436,Price-Sensitive Explorers,Exclusive discounts
380757,Price-Sensitive Explorers,Exclusive discounts
380874,Price-Sensitive Explorers,Exclusive discounts
380949,Hesitant Explorers,No cancellation fees
381259,Price-Sensitive Explorers,Exclusive discounts
381465,Hesitant Explorers,No cancellation fees
382181,Price-Sensitive Explorers,Exclusive discounts
382384,Price-Sensitive Explorers,Exclusive discounts
382533,Price-Sensitive Explorers,Exclusive discounts
385689,Price-Sensitive Explorers,Exclusive discounts
386255,Price-Sensitive Explorers,Exclusive discounts
386469,High-Value Travelers,Free hotel meal
386914,Frequent Planners,Free checked bag
387282,Price-Sensitive Explorers,Exclusive discounts
387783,Price-Sensitive Explorers,Exclusive discounts
388328,High-Value Travelers,Free hotel meal
388767,Price-Sensitive Explorers,Exclusive discounts
388947,High-Value Travelers,Free hotel meal
389434,Hesitant Explorers,No cancellation fees
389662,Price-Sensitive Explorers,Exclusive discounts
389759,Price-Sensitive Explorers,Exclusive discounts
390811,Price-Sensitive Explorers,Exclusive discounts
392453,Price-Sensitive Explorers,Exclusive discounts
395202,Price-Sensitive Explorers,Exclusive discounts
395981,Price-Sensitive Explorers,Exclusive discounts
396552,Price-Sensitive Explorers,Exclusive discounts
399137,Price-Sensitive Explorers,Exclusive discounts
399218,Price-Sensitive Explorers,Exclusive discounts
399799,Price-Sensitive Explorers,Exclusive discounts
400275,Price-Sensitive Explorers,Exclusive discounts
400582,Price-Sensitive Explorers,Exclusive discounts
400899,Price-Sensitive Explorers,Exclusive discounts
401245,Price-Sensitive Explorers,Exclusive discounts
402332,Price-Sensitive Explorers,Exclusive discounts
402978,Price-Sensitive Explorers,Exclusive discounts
403881,Price-Sensitive Explorers,Exclusive discounts
404879,Price-Sensitive Explorers,Exclusive discounts
405305,High-Value Travelers,Free hotel meal
406210,Price-Sensitive Explorers,Exclusive discounts
407118,Hesitant Explorers,No cancellation fees
407250,Price-Sensitive Explorers,Exclusive discounts
407275,Price-Sensitive Explorers,Exclusive discounts
407434,Price-Sensitive Explorers,Exclusive discounts
407642,Price-Sensitive Explorers,Exclusive discounts
408551,High-Value Travelers,Free hotel meal
409073,Price-Sensitive Explorers,Exclusive discounts
411179,Hesitant Explorers,No cancellation fees
411701,Price-Sensitive Explorers,Exclusive discounts
413128,High-Value Travelers,Free hotel meal
413340,Price-Sensitive Explorers,Exclusive discounts
413418,Price-Sensitive Explorers,Exclusive discounts
413658,Frequent Planners,Free checked bag
414128,High-Value Travelers,Free hotel meal
415282,Price-Sensitive Explorers,Exclusive discounts
415381,Price-Sensitive Explorers,Exclusive discounts
415581,Price-Sensitive Explorers,Exclusive discounts
416319,Price-Sensitive Explorers,Exclusive discounts
416580,Hesitant Explorers,No cancellation fees
417679,Price-Sensitive Explorers,Exclusive discounts
418329,Price-Sensitive Explorers,Exclusive discounts
418488,Price-Sensitive Explorers,Exclusive discounts
418692,Hesitant Explorers,No cancellation fees
420648,Price-Sensitive Explorers,Exclusive discounts
420669,Hesitant Explorers,No cancellation fees
421247,Price-Sensitive Explorers,Exclusive discounts
421515,Price-Sensitive Explorers,Exclusive discounts
421666,Hesitant Explorers,No cancellation fees
421700,Price-Sensitive Explorers,Exclusive discounts
421870,Frequent Planners,Free checked bag
422066,Price-Sensitive Explorers,Exclusive discounts
422668,Price-Sensitive Explorers,Exclusive discounts
423042,Hesitant Explorers,No cancellation fees
423413,Price-Sensitive Explorers,Exclusive discounts
424553,Price-Sensitive Explorers,Exclusive discounts
425632,Price-Sensitive Explorers,Exclusive discounts
425653,Price-Sensitive Explorers,Exclusive discounts
425953,Price-Sensitive Explorers,Exclusive discounts
425966,Price-Sensitive Explorers,Exclusive discounts
426478,Frequent Planners,Free checked bag
427426,Price-Sensitive Explorers,Exclusive discounts
427506,Hesitant Explorers,No cancellation fees
428056,Price-Sensitive Explorers,Exclusive discounts
428552,Price-Sensitive Explorers,Exclusive discounts
428858,Hesitant Explorers,No cancellation fees
429345,Price-Sensitive Explorers,Exclusive discounts
429375,Hesitant Explorers,No cancellation fees
430722,Hesitant Explorers,No cancellation fees
431144,Price-Sensitive Explorers,Exclusive discounts
431337,Price-Sensitive Explorers,Exclusive discounts
431602,Hesitant Explorers,No cancellation fees
431746,Price-Sensitive Explorers,Exclusive discounts
431899,Hesitant Explorers,No cancellation fees
431912,Price-Sensitive Explorers,Exclusive discounts
432333,Price-Sensitive Explorers,Exclusive discounts
432637,Price-Sensitive Explorers,Exclusive discounts
432941,Price-Sensitive Explorers,Exclusive discounts
433080,Price-Sensitive Explorers,Exclusive discounts
433339,Price-Sensitive Explorers,Exclusive discounts
433905,Price-Sensitive Explorers,Exclusive discounts
434238,Price-Sensitive Explorers,Exclusive discounts
434623,Hesitant Explorers,No cancellation fees
435231,High-Value Travelers,Free hotel meal
435596,Price-Sensitive Explorers,Exclusive discounts
435669,Price-Sensitive Explorers,Exclusive discounts
435837,Price-Sensitive Explorers,Exclusive discounts
435882,Hesitant Explorers,No cancellation fees
436320,Price-Sensitive Explorers,Exclusive discounts
436894,Price-Sensitive Explorers,Exclusive discounts
437069,Price-Sensitive Explorers,Exclusive discounts
437162,Hesitant Explorers,No cancellation fees
437251,Price-Sensitive Explorers,Exclusive discounts
437539,Price-Sensitive Explorers,Exclusive discounts
437549,Price-Sensitive Explorers,Exclusive discounts
438189,High-Value Travelers,Free hotel meal
438406,Price-Sensitive Explorers,Exclusive discounts
438551,Frequent Planners,Free checked bag
438596,Price-Sensitive Explorers,Exclusive discounts
438839,Price-Sensitive Explorers,Exclusive discounts
438937,Price-Sensitive Explorers,Exclusive discounts
438985,Frequent Planners,Free checked bag
438995,Price-Sensitive Explorers,Exclusive discounts
439052,High-Value Travelers,Free hotel meal
439120,Price-Sensitive Explorers,Exclusive discounts
439363,Price-Sensitive Explorers,Exclusive discounts
440212,Price-Sensitive Explorers,Exclusive discounts
440655,Price-Sensitive Explorers,Exclusive discounts
441200,Price-Sensitive Explorers,Exclusive discounts
441205,Price-Sensitive Explorers,Exclusive discounts
441448,Price-Sensitive Explorers,Exclusive discounts
441457,Price-Sensitive Explorers,Exclusive discounts
441982,Price-Sensitive Explorers,Exclusive discounts
442484,Price-Sensitive Explorers,Exclusive discounts
442718,Price-Sensitive Explorers,Exclusive discounts
442812,Price-Sensitive Explorers,Exclusive discounts
442819,Price-Sensitive Explorers,Exclusive discounts
442833,Price-Sensitive Explorers,Exclusive discounts
443305,Price-Sensitive Explorers,Exclusive discounts
443453,Price-Sensitive Explorers,Exclusive discounts
443598,Price-Sensitive Explorers,Exclusive discounts
443652,Price-Sensitive Explorers,Exclusive discounts
444387,Price-Sensitive Explorers,Exclusive discounts
444885,Price-Sensitive Explorers,Exclusive discounts
445351,Price-Sensitive Explorers,Exclusive discounts
445515,Price-Sensitive Explorers,Exclusive discounts
446124,Price-Sensitive Explorers,Exclusive discounts
446138,Hesitant Explorers,No cancellation fees
446473,Price-Sensitive Explorers,Exclusive discounts
446933,Price-Sensitive Explorers,Exclusive discounts
447053,Price-Sensitive Explorers,Exclusive discounts
447591,Price-Sensitive Explorers,Exclusive discounts
447737,Price-Sensitive Explorers,Exclusive discounts
447951,Price-Sensitive Explorers,Exclusive discounts
448025,Price-Sensitive Explorers,Exclusive discounts
448154,Price-Sensitive Explorers,Exclusive discounts
448295,Price-Sensitive Explorers,Exclusive discounts
448467,High-Value Travelers,Free hotel meal
448564,Price-Sensitive Explorers,Exclusive discounts
449033,High-Value Travelers,Free hotel meal
449326,Price-Sensitive Explorers,Exclusive discounts
449619,Price-Sensitive Explorers,Exclusive discounts
449804,Price-Sensitive Explorers,Exclusive discounts
449980,Hesitant Explorers,No cancellation fees
450164,Price-Sensitive Explorers,Exclusive discounts
450193,Price-Sensitive Explorers,Exclusive discounts
450305,Price-Sensitive Explorers,Exclusive discounts
450615,Price-Sensitive Explorers,Exclusive discounts
451291,High-Value Travelers,Free hotel meal
451674,High-Value Travelers,Free hotel meal
452034,Hesitant Explorers,No cancellation fees
452532,Hesitant Explorers,No cancellation fees
452594,Price-Sensitive Explorers,Exclusive discounts
452612,Hesitant Explorers,No cancellation fees
453143,Price-Sensitive Explorers,Exclusive discounts
453168,High-Value Travelers,Free hotel meal
454264,Price-Sensitive Explorers,Exclusive discounts
454430,Price-Sensitive Explorers,Exclusive discounts
454616,Price-Sensitive Explorers,Exclusive discounts
454661,Price-Sensitive Explorers,Exclusive discounts
454920,Price-Sensitive Explorers,Exclusive discounts
454934,Hesitant Explorers,No cancellation fees
454955,Price-Sensitive Explorers,Exclusive discounts
456226,Price-Sensitive Explorers,Exclusive discounts
456318,Price-Sensitive Explorers,Exclusive discounts
456663,High-Value Travelers,Free hotel meal
456671,Price-Sensitive Explorers,Exclusive discounts
457468,Price-Sensitive Explorers,Exclusive discounts
457599,Price-Sensitive Explorers,Exclusive discounts
457967,Price-Sensitive Explorers,Exclusive discounts
458479,Hesitant Explorers,No cancellation fees
458688,High-Value Travelers,Free hotel meal
458725,Price-Sensitive Explorers,Exclusive discounts
458762,High-Value Travelers,Free hotel meal
458814,Price-Sensitive Explorers,Exclusive discounts
458855,High-Value Travelers,Free hotel meal
458919,Price-Sensitive Explorers,Exclusive discounts
459229,Price-Sensitive Explorers,Exclusive discounts
459486,High-Value Travelers,Free hotel meal
459645,High-Value Travelers,Free hotel meal
460072,Price-Sensitive Explorers,Exclusive discounts
460181,Price-Sensitive Explorers,Exclusive discounts
460553,Price-Sensitive Explorers,Exclusive discounts
460625,Hesitant Explorers,No cancellation fees
461559,Price-Sensitive Explorers,Exclusive discounts
461744,High-Value Travelers,Free hotel meal
461791,High-Value Travelers,Free hotel meal
462127,Price-Sensitive Explorers,Exclusive discounts
462456,Price-Sensitive Explorers,Exclusive discounts
462894,High-Value Travelers,Free hotel meal
463652,Price-Sensitive Explorers,Exclusive discounts
463698,Price-Sensitive Explorers,Exclusive discounts
463783,High-Value Travelers,Free hotel meal
463867,Price-Sensitive Explorers,Exclusive discounts
463910,Price-Sensitive Explorers,Exclusive discounts
464080,Price-Sensitive Explorers,Exclusive discounts
464160,Price-Sensitive Explorers,Exclusive discounts
464239,Price-Sensitive Explorers,Exclusive discounts
464542,Price-Sensitive Explorers,Exclusive discounts
464597,Price-Sensitive Explorers,Exclusive discounts
464614,Hesitant Explorers,No cancellation fees
464673,Price-Sensitive Explorers,Exclusive discounts
464782,Price-Sensitive Explorers,Exclusive discounts
464855,Frequent Planners,Free checked bag
465138,Price-Sensitive Explorers,Exclusive discounts
465343,Price-Sensitive Explorers,Exclusive discounts
465531,Price-Sensitive Explorers,Exclusive discounts
465568,Price-Sensitive Explorers,Exclusive discounts
465731,Hesitant Explorers,No cancellation fees
466205,Price-Sensitive Explorers,Exclusive discounts
466342,Price-Sensitive Explorers,Exclusive discounts
466723,Hesitant Explorers,No cancellation fees
467007,Frequent Planners,Free checked bag
467092,Hesitant Explorers,No cancellation fees
467339,Price-Sensitive Explorers,Exclusive discounts
467809,Price-Sensitive Explorers,Exclusive discounts
467892,Hesitant Explorers,No cancellation fees
468106,Price-Sensitive Explorers,Exclusive discounts
468370,Price-Sensitive Explorers,Exclusive discounts
468409,Hesitant Explorers,No cancellation fees
468666,High-Value Travelers,Free hotel meal
468801,Price-Sensitive Explorers,Exclusive discounts
468808,Price-Sensitive Explorers,Exclusive discounts
468832,Hesitant Explorers,No cancellation fees
469237,Price-Sensitive Explorers,Exclusive discounts
469418,Price-Sensitive Explorers,Exclusive discounts
469440,Hesitant Explorers,No cancellation fees
469464,Price-Sensitive Explorers,Exclusive discounts
469699,High-Value Travelers,Free hotel meal
469767,Price-Sensitive Explorers,Exclusive discounts
469824,Price-Sensitive Explorers,Exclusive discounts
471077,Price-Sensitive Explorers,Exclusive discounts
471161,Price-Sensitive Explorers,Exclusive discounts
471186,Price-Sensitive Explorers,Exclusive discounts
471500,Price-Sensitive Explorers,Exclusive discounts
471565,Price-Sensitive Explorers,Exclusive discounts
471649,Price-Sensitive Explorers,Exclusive discounts
471687,High-Value Travelers,Free hotel meal
471717,Price-Sensitive Explorers,Exclusive discounts
471935,High-Value Travelers,Free hotel meal
471946,Price-Sensitive Explorers,Exclusive discounts
471973,Price-Sensitive Explorers,Exclusive discounts
472394,Price-Sensitive Explorers,Exclusive discounts
472446,Price-Sensitive Explorers,Exclusive discounts
472614,Price-Sensitive Explorers,Exclusive discounts
472713,High-Value Travelers,Free hotel meal
472785,Price-Sensitive Explorers,Exclusive discounts
472966,High-Value Travelers,Free hotel meal
473332,Price-Sensitive Explorers,Exclusive discounts
473343,Price-Sensitive Explorers,Exclusive discounts
473402,Frequent Planners,Free checked bag
473467,High-Value Travelers,Free hotel meal
473568,Price-Sensitive Explorers,Exclusive discounts
473712,Price-Sensitive Explorers,Exclusive discounts
473847,Price-Sensitive Explorers,Exclusive discounts
474007,Price-Sensitive Explorers,Exclusive discounts
474120,Hesitant Explorers,No cancellation fees
474239,Frequent Planners,Free checked bag
474261,Price-Sensitive Explorers,Exclusive discounts
474278,Price-Sensitive Explorers,Exclusive discounts
474384,Price-Sensitive Explorers,Exclusive discounts
474464,Price-Sensitive Explorers,Exclusive discounts
474546,Price-Sensitive Explorers,Exclusive discounts
474951,High-Value Travelers,Free hotel meal
474980,Price-Sensitive Explorers,Exclusive discounts
475060,Price-Sensitive Explorers,Exclusive discounts
475130,Price-Sensitive Explorers,Exclusive discounts
475467,Price-Sensitive Explorers,Exclusive discounts
475531,High-Value Travelers,Free hotel meal
476081,Price-Sensitive Explorers,Exclusive discounts
476104,Price-Sensitive Explorers,Exclusive discounts
476124,Price-Sensitive Explorers,Exclusive discounts
476173,Price-Sensitive Explorers,Exclusive discounts
476270,Price-Sensitive Explorers,Exclusive discounts
476393,Price-Sensitive Explorers,Exclusive discounts
476436,Price-Sensitive Explorers,Exclusive discounts
476535,High-Value Travelers,Free hotel meal
476665,Price-Sensitive Explorers,Exclusive discounts
476693,Price-Sensitive Explorers,Exclusive discounts
476714,Price-Sensitive Explorers,Exclusive discounts
476742,Price-Sensitive Explorers,Exclusive discounts
476916,Price-Sensitive Explorers,Exclusive discounts
476956,Price-Sensitive Explorers,Exclusive discounts
477285,Price-Sensitive Explorers,Exclusive discounts
477316,Price-Sensitive Explorers,Exclusive discounts
477597,Price-Sensitive Explorers,Exclusive discounts
477730,Price-Sensitive Explorers,Exclusive discounts
477805,Price-Sensitive Explorers,Exclusive discounts
478003,High-Value Travelers,Free hotel meal
478146,Hesitant Explorers,No cancellation fees
478188,Price-Sensitive Explorers,Exclusive discounts
478228,Price-Sensitive Explorers,Exclusive discounts
478291,Price-Sensitive Explorers,Exclusive discounts
478533,Price-Sensitive Explorers,Exclusive discounts
478585,Price-Sensitive Explorers,Exclusive discounts
478760,Frequent Planners,Free checked bag
478801,High-Value Travelers,Free hotel meal
478834,Price-Sensitive Explorers,Exclusive discounts
479071,High-Value Travelers,Free hotel meal
479078,Price-Sensitive Explorers,Exclusive discounts
479101,Price-Sensitive Explorers,Exclusive discounts
479254,High-Value Travelers,Free hotel meal
479524,Frequent Planners,Free checked bag
479785,Price-Sensitive Explorers,Exclusive discounts
480186,Price-Sensitive Explorers,Exclusive discounts
480313,Hesitant Explorers,No cancellation fees
480331,Price-Sensitive Explorers,Exclusive discounts
480690,Price-Sensitive Explorers,Exclusive discounts
480796,Price-Sensitive Explorers,Exclusive discounts
480877,Price-Sensitive Explorers,Exclusive discounts
480895,Hesitant Explorers,No cancellation fees
480975,Price-Sensitive Explorers,Exclusive discounts
481050,Price-Sensitive Explorers,Exclusive discounts
481245,High-Value Travelers,Free hotel meal
481292,Price-Sensitive Explorers,Exclusive discounts
481358,Price-Sensitive Explorers,Exclusive discounts
481554,High-Value Travelers,Free hotel meal
481622,Price-Sensitive Explorers,Exclusive discounts
481772,Price-Sensitive Explorers,Exclusive discounts
481781,High-Value Travelers,Free hotel meal
482264,Price-Sensitive Explorers,Exclusive discounts
482335,High-Value Travelers,Free hotel meal
482424,High-Value Travelers,Free hotel meal
482548,Hesitant Explorers,No cancellation fees
482602,Price-Sensitive Explorers,Exclusive discounts
482621,Price-Sensitive Explorers,Exclusive discounts
482630,Price-Sensitive Explorers,Exclusive discounts
482744,High-Value Travelers,Free hotel meal
482811,Frequent Planners,Free checked bag
483224,Price-Sensitive Explorers,Exclusive discounts
483237,Price-Sensitive Explorers,Exclusive discounts
483345,Price-Sensitive Explorers,Exclusive discounts
483480,Price-Sensitive Explorers,Exclusive discounts
483483,Price-Sensitive Explorers,Exclusive discounts
483525,Price-Sensitive Explorers,Exclusive discounts
483603,High-Value Travelers,Free hotel meal
483928,Price-Sensitive Explorers,Exclusive discounts
483982,Price-Sensitive Explorers,Exclusive discounts
484249,Price-Sensitive Explorers,Exclusive discounts
484342,Frequent Planners,Free checked bag
484418,Price-Sensitive Explorers,Exclusive discounts
484987,Price-Sensitive Explorers,Exclusive discounts
485149,High-Value Travelers,Free hotel meal
485260,Price-Sensitive Explorers,Exclusive discounts
485393,Frequent Planners,Free checked bag
485505,Price-Sensitive Explorers,Exclusive discounts
485518,Price-Sensitive Explorers,Exclusive discounts
485536,High-Value Travelers,Free hotel meal
485544,Price-Sensitive Explorers,Exclusive discounts
485591,Price-Sensitive Explorers,Exclusive discounts
485658,Hesitant Explorers,No cancellation fees
485780,Price-Sensitive Explorers,Exclusive discounts
485785,Price-Sensitive Explorers,Exclusive discounts
485891,Hesitant Explorers,No cancellation fees
485894,Price-Sensitive Explorers,Exclusive discounts
486046,Price-Sensitive Explorers,Exclusive discounts
486113,Price-Sensitive Explorers,Exclusive discounts
486191,Price-Sensitive Explorers,Exclusive discounts
486261,Price-Sensitive Explorers,Exclusive discounts
486268,Price-Sensitive Explorers,Exclusive discounts
486270,Price-Sensitive Explorers,Exclusive discounts
486366,Price-Sensitive Explorers,Exclusive discounts
486447,Frequent Planners,Free checked bag
486454,Price-Sensitive Explorers,Exclusive discounts
486605,Price-Sensitive Explorers,Exclusive discounts
486671,Price-Sensitive Explorers,Exclusive discounts
486751,Hesitant Explorers,No cancellation fees
486823,Price-Sensitive Explorers,Exclusive discounts
487002,Price-Sensitive Explorers,Exclusive discounts
487036,High-Value Travelers,Free hotel meal
487040,Price-Sensitive Explorers,Exclusive discounts
487101,Price-Sensitive Explorers,Exclusive discounts
487276,Price-Sensitive Explorers,Exclusive discounts
487352,Price-Sensitive Explorers,Exclusive discounts
487453,Hesitant Explorers,No cancellation fees
487637,Price-Sensitive Explorers,Exclusive discounts
487680,High-Value Travelers,Free hotel meal
487715,Hesitant Explorers,No cancellation fees
487858,Price-Sensitive Explorers,Exclusive discounts
487954,High-Value Travelers,Free hotel meal
488009,Price-Sensitive Explorers,Exclusive discounts
488099,Price-Sensitive Explorers,Exclusive discounts
488246,Price-Sensitive Explorers,Exclusive discounts
488314,Hesitant Explorers,No cancellation fees
488410,Price-Sensitive Explorers,Exclusive discounts
488430,Frequent Planners,Free checked bag
488462,Price-Sensitive Explorers,Exclusive discounts
488480,Frequent Planners,Free checked bag
488511,Price-Sensitive Explorers,Exclusive discounts
488529,Price-Sensitive Explorers,Exclusive discounts
488539,Price-Sensitive Explorers,Exclusive discounts
488672,Price-Sensitive Explorers,Exclusive discounts
488827,Price-Sensitive Explorers,Exclusive discounts
488865,Price-Sensitive Explorers,Exclusive discounts
488870,Hesitant Explorers,No cancellation fees
488918,Price-Sensitive Explorers,Exclusive discounts
488974,Price-Sensitive Explorers,Exclusive discounts
489096,Price-Sensitive Explorers,Exclusive discounts
489131,Price-Sensitive Explorers,Exclusive discounts
489575,High-Value Travelers,Free hotel meal
489635,Price-Sensitive Explorers,Exclusive discounts
489661,Price-Sensitive Explorers,Exclusive discounts
489730,Price-Sensitive Explorers,Exclusive discounts
489785,High-Value Travelers,Free hotel meal
489786,Price-Sensitive Explorers,Exclusive discounts
489802,Price-Sensitive Explorers,Exclusive discounts
489844,Price-Sensitive Explorers,Exclusive discounts
489852,Price-Sensitive Explorers,Exclusive discounts
489949,Hesitant Explorers,No cancellation fees
489953,Price-Sensitive Explorers,Exclusive discounts
489992,Price-Sensitive Explorers,Exclusive discounts
490040,Price-Sensitive Explorers,Exclusive discounts
490107,Price-Sensitive Explorers,Exclusive discounts
490133,Price-Sensitive Explorers,Exclusive discounts
490201,Price-Sensitive Explorers,Exclusive discounts
490348,Price-Sensitive Explorers,Exclusive discounts
490358,Price-Sensitive Explorers,Exclusive discounts
490517,Price-Sensitive Explorers,Exclusive discounts
490576,Price-Sensitive Explorers,Exclusive discounts
490608,High-Value Travelers,Free hotel meal
490629,Price-Sensitive Explorers,Exclusive discounts
490671,High-Value Travelers,Free hotel meal
491003,Price-Sensitive Explorers,Exclusive discounts
491124,Price-Sensitive Explorers,Exclusive discounts
491141,Price-Sensitive Explorers,Exclusive discounts
491175,High-Value Travelers,Free hotel meal
491182,High-Value Travelers,Free hotel meal
491241,Price-Sensitive Explorers,Exclusive discounts
491266,Price-Sensitive Explorers,Exclusive discounts
491559,Price-Sensitive Explorers,Exclusive discounts
491597,Price-Sensitive Explorers,Exclusive discounts
491617,High-Value Travelers,Free hotel meal
491706,Price-Sensitive Explorers,Exclusive discounts
491772,Price-Sensitive Explorers,Exclusive discounts
491925,Price-Sensitive Explorers,Exclusive discounts
491930,Price-Sensitive Explorers,Exclusive discounts
491995,Hesitant Explorers,No cancellation fees
492209,Price-Sensitive Explorers,Exclusive discounts
492211,Price-Sensitive Explorers,Exclusive discounts
492287,High-Value Travelers,Free hotel meal
492371,Price-Sensitive Explorers,Exclusive discounts
492497,Frequent Planners,Free checked bag
492614,Price-Sensitive Explorers,Exclusive discounts
492999,Price-Sensitive Explorers,Exclusive discounts
493177,Price-Sensitive Explorers,Exclusive discounts
493409,Price-Sensitive Explorers,Exclusive discounts
493476,Price-Sensitive Explorers,Exclusive discounts
493718,High-Value Travelers,Free hotel meal
494294,Price-Sensitive Explorers,Exclusive discounts
494374,Price-Sensitive Explorers,Exclusive discounts
494382,Price-Sensitive Explorers,Exclusive discounts
494441,Price-Sensitive Explorers,Exclusive discounts
494463,Price-Sensitive Explorers,Exclusive discounts
494484,Price-Sensitive Explorers,Exclusive discounts
494590,Price-Sensitive Explorers,Exclusive discounts
494630,High-Value Travelers,Free hotel meal
494680,Price-Sensitive Explorers,Exclusive discounts
494704,Price-Sensitive Explorers,Exclusive discounts
494985,Price-Sensitive Explorers,Exclusive discounts
495029,High-Value Travelers,Free hotel meal
495042,Price-Sensitive Explorers,Exclusive discounts
495080,Price-Sensitive Explorers,Exclusive discounts
495272,High-Value Travelers,Free hotel meal
495273,Price-Sensitive Explorers,Exclusive discounts
495386,Price-Sensitive Explorers,Exclusive discounts
495482,High-Value Travelers,Free hotel meal
495592,High-Value Travelers,Free hotel meal
495603,Price-Sensitive Explorers,Exclusive discounts
495727,Price-Sensitive Explorers,Exclusive discounts
496016,Price-Sensitive Explorers,Exclusive discounts
